,first_name,last_name,email,gender,ip_address,nationality,city,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
0,Reyna,Alegria,Reyna.Alegria@gmail.com,Male,10.156.10.10,Spain,Lugo,4879972.0,29,10,single,rented,no,Fashion_Designer,3,11,0
1,Juliette,Martins,Juliette.Martins@laposte.net,Female,192.168.224.244,France,Aubert,7054868.0,76,0,single,rented,no,Flight_attendant,14,12,0
2,Sophia,Fittipaldi,Sophia.Fittipaldi@virgilio.it,Female,10.164.159.243,Italy,Baganzola,2596196.0,72,16,single,rented,yes,Microbiologist,9,11,0
3,Carin,Tlustek,Carin.Tlustek@gmx.de,Female,172.25.147.150,Germany,Kötzting,3038470.0,40,18,single,owned,no,Drafter,9,11,0
4,Reyes,Carrera,Reyes.Carrera@gmail.com,Female,10.93.95.50,Spain,Vizcaya,4040503.0,55,4,single,norent_noown,no,Army_officer,4,10,0
5,Brittney,Peterson,Brittney.Peterson@gmail.com,Male,192.168.151.79,United States,North Amy,5254160.0,49,12,single,norent_noown,yes,Computer_operator,6,10,0
6,Bonnie,Rodriguez,Bonnie.Rodriguez@hotmail.com,Male,172.26.29.167,United States,Port Sandra,8612082.0,21,18,single,rented,no,Technology_specialist,6,12,0
7,Rosalinda,Parra,Rosalinda.Parra@hotmail.com,Female,172.24.83.44,Spain,Baleares,6607473.0,69,4,single,rented,yes,Physician,10,10,0
8,Patricia,Gibson,Patricia.Gibson@gmail.com,Female,172.18.197.108,United States,Maryside,8350895.0,23,12,single,rented,no,Physician,12,14,0
9,Melissa,Mckinney,Melissa.Mckinney@hotmail.com,Female,10.196.88.247,United States,East William,8088728.0,34,0,single,rented,yes,Aviator,14,14,0
10,Olivie,Meyer,Olivie.Meyer@laposte.net,Male,192.168.111.167,France,Delaunay,8042319.0,61,5,single,rented,no,Biomedical_Engineer,10,14,0
11,Almuth,Rosemann,Almuth.Rosemann@googlemail.com,Female,192.168.107.155,Germany,Lippstadt,9389867.0,37,18,single,rented,yes,Mechanical_engineer,14,10,0
12,Liana,Gadda,Liana.Gadda@tin.it,Female,172.31.114.29,Italy,Punta Marina,2934345.0,31,3,married,rented,no,Consultant,12,11,0
13,Josephine,Brown,Josephine.Brown@yahoo.co.uk,Male,10.15.110.76,United Kingdom,Banksside,632772.0,37,7,single,rented,yes,Chef,8,14,0
14,Federica,Paolini,Federica.Paolini@fastwebnet.it,Male,172.19.10.62,Italy,Urbisaglia,6782010.0,65,15,married,owned,yes,Civil_servant,14,12,0
15,Nicole,Le Roux,Nicole.Le Roux@gmail.com,Female,10.254.131.236,France,Vaillantnec,2390040.0,70,7,single,rented,no,Aviator,12,13,0
16,Annelore,Preiß,Annelore.Preiß@gmx.de,Female,192.168.10.43,Germany,Neustadtner Waldnaab,1896004.0,34,4,single,rented,no,Police_officer,8,10,0
17,Gunda,Keudel,Gunda.Keudel@yahoo.de,Male,172.16.113.170,Germany,Deggendorf,3343293.0,29,6,single,rented,yes,Software_Developer,6,14,0
18,Jenna,Barnett,Jenna.Barnett@yahoo.com,Female,10.27.220.10,United Kingdom,Lake Geraldine,9527174.0,47,7,single,rented,no,Aviator,14,13,0
19,Theresa,Hicks,Theresa.Hicks@hotmail.com,Male,172.30.252.44,United States,West Georgemouth,,78,16,single,rented,no,Web_designer,10,14,0
20,Catharina,Junck,Catharina.Junck@aol.de,Female,172.28.220.41,Germany,Sankt Goar,2019044.0,77,7,single,rented,no,Microbiologist,2,11,1
21,Dana,Dowerg,Dana.Dowerg@gmail.com,Female,10.134.238.228,Germany,Holzminden,7590843.0,21,18,single,rented,no,Civil_servant,9,14,0
22,Marisa,Miranda,Marisa.Miranda@hotmail.com,Male,192.168.75.127,Spain,Zaragoza,7568486.0,52,9,married,norent_noown,no,Technical_writer,12,14,0
23,Élisabeth,Lelièvre,Élisabeth.Lelièvre@voila.fr,Female,10.113.249.212,France,Sainte Geneviève,2804207.0,62,12,single,rented,yes,Dentist,14,13,0
24,Jessica,Castro,Jessica.Castro@gmail.com,Female,192.168.108.123,United States,Lake Kimfort,7542057.0,61,9,single,rented,yes,Politician,8,14,0
25,Manon,Pichon,Manon.Pichon@ifrance.com,Male,172.19.57.109,France,Chevallier,7878952.0,79,2,single,owned,yes,Statistician,11,13,0
26,Adeline,Becker,Adeline.Becker@yahoo.de,Male,192.168.248.80,Germany,Uffenheim,1201692.0,65,3,single,rented,no,Civil_servant,6,10,0
27,Kirsty,Barrett,Kirsty.Barrett@hotmail.com,Female,10.41.251.164,United Kingdom,Kempmouth,11114.0,61,2,married,rented,no,Computer_operator,10,14,0
28,Hélène,Adam,Hélène.Adam@tiscali.fr,Female,192.168.17.164,France,Perrotdan,11114.0,28,14,single,rented,yes,Engineer,10,10,0
